;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;LTM
"Дата отчета";;;;;;;;;;;08.05.2020;25.02.2019;25.02.2019;14.02.2020;18.02.2021;28.02.2022;03.11.2022
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Акт. абоненты, млн чел";;;;;;;;;;;207.2;210.5;209.9;197.8;195.0;203.6;
"Выручка, млрд руб";;;;;;;;;;584.7;544.4;552.4;569.6;573.1;525.9;573.8;538.4
"EBITDA, млрд руб";;;;;;;;;;185.9;198.0;209.2;205.2;272.6;227.3;245.5;230.2
"Чистая прибыль, млрд руб";21.4;36.0;14.8;33.6;55.7;17.1;47.3;-85.9;-39.4;-42.3;147.9;-28.2;36.5;44.2;-25.2;49.6;-25.6
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;9.46
"CAPEX, млрд руб";;;;;;;;;;129.6;97.6;104.4;88.7;132.4;129.4;134.5;91.0
"FCF, млрд руб";;;;;;;;;;41.8;36.0;62.2;64.7;88.1;17.0;24.6;-23.5
"Див.выплата, млрд руб";8.74;14.5;0.000;9.68;34.0;40.9;40.0;71.7;3.40;4.41;33.5;21.5;26.3;31.8;0.000;0.000;
"Дивиденд, руб/акцию";8,59;13,85;0;9,55;28,12;26,86;24,7;41,91;1,95;2,51;9,96;12,22;14,95;18,1;0;0;
"Див доход, ао, %";0.4%;1.3%;0.0%;1.6%;6.1%;9.0%;7.7%;9.9%;0.8%;1.0%;4.2%;5.5%;9.2%;11.5%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";41%;40%;0%;29%;61%;239%;84%;0%;0%;0%;23%;0%;72%;72%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;138.7;;;;;;277.8
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;;;28.4
"Активы, млрд руб";;;;;;;;;;;;;;;"1 075";"1 183";
"Чистые активы, млрд руб";;;;;;;;;;283.8;375.5;228.3;255.0;75.9;74.8;111.8;
"Долг, млрд руб";;;;;;;;;;713.4;642.6;580.2;456.2;593.9;707.9;762.1;657.3
"Наличность, млрд руб";;;;;;;;;;263.4;180.3;76.0;125.6;77.4;123.3;167.3;189.1
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;450.0;462.3;504.2;330.6;516.5;584.6;594.8;468.3
"Цена акции ао, руб";"2 079";"1 043";207.0;579.0;464.0;298.0;322.0;424.0;235.0;239.1;235.9;221.4;162.0;157.0;112.3;128.4;82.8
"Число акций ао, млн";"1 018";"1 016";"1 014";"1 013";"1 207";"1 524";"1 618";"1 711";"1 748";"1 757";"1 757";"1 757";"1 757";"1 757";"1 757";"1 757";"1 757"
"Капитализация, млрд руб";"2 117";"1 060";209.9;586.5;560.1;454.2;521.0;725.5;410.8;420.0;414.4;389.0;284.5;275.7;197.3;225.6;145.5
"EV, млрд руб";"2 117";"1 060";209.9;586.5;560.1;454.2;521.0;725.5;410.8;869.9;876.8;893.2;615.1;792.2;781.9;820.4;613.7
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-186.1;-50.2;-154.3;-138.9;-276.2;-232.2;111.8;0
"EPS, руб";21.0;35.4;14.5;33.2;46.2;11.2;29.2;-50.2;-22.6;-24.1;84.2;-16.0;20.8;25.1;-14.3;28.3;-14.5
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.8;20.5;35.4;36.8;50.1;9.65;14.0;-13.4
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-105.9;-28.6;-87.9;-79.1;-157.2;-132.2;63.6;0
"Рентаб EBITDA, %";;;;;;;;;;31.8%;36.4%;37.9%;36.0%;47.6%;43.2%;42.8%;42.8%
"Чистая рентаб, %";;;;;;;;;;-7.2%;27.2%;-5.1%;6.4%;7.7%;-4.8%;8.7%;-4.7%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;10.0%;8.7%;16.0%;22.7%;31.9%;8.6%;10.9%;-16.2%
"ROE, %";;;;;;;;;;-14.9%;39.4%;-12.3%;14.3%;58.2%;-33.7%;44.4%;
"ROA, %";;;;;;;;;;;;;;;-2.3%;4.2%;
P/E;99.2;29.5;14.2;17.4;10.0;26.6;11.0;-8.44;-10.4;-9.92;2.80;-13.8;7.80;6.24;-7.83;4.55;-5.69
P/FCF;;;;;;;;;;10.0;11.5;6.25;4.40;3.13;11.6;9.17;-6.19
P/S;;;;;;;;;;0.72;0.76;0.70;0.50;0.48;0.38;0.39;0.27
P/BV;;;;;;;;;;-2.26;-8.26;-2.52;-2.05;-1.00;-0.85;2.02;
EV/EBITDA;;;;;;;;;;4.68;4.43;4.27;3.00;2.91;3.44;3.34;2.67
Долг/EBITDA;;;;;;;;;;2.42;2.34;2.41;1.61;1.89;2.57;2.42;2.03
"Персонал, чел";;;;;;;;;;;;;"46 132";"46 492";"43 639";;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;12.3;12.3;12.1;;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;0.00;0.00;0.00;;
"R&D/CAPEX, %";;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;;;;;22%;18%;19%;16%;23%;25%;23%;17%
