;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;10.07.2018;10.07.2018;10.07.2018;04.05.2020;04.05.2020;25.06.2021;29.04.2022;02.05.2024;02.05.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";16.3;17.8;18.9;20.7;22.2;24.1;25.2;26.4;28.8;28.9;30.2;32.3;34.0
"Операционная прибыль, млрд руб";;;;;0.082;0.404;0.494;1.10;1.35;1.07;1.14;1.87;1.13
"EBITDA, млрд руб";0.160;0.240;0.492;0.105;0.082;0.404;0.494;1.10;1.35;1.12;1.19;1.94;1.21
"Чистая прибыль, млрд руб";0.043;0.068;0.293;0.035;-0.037;0.079;0.310;0.712;1.04;1.02;1.10;2.28;1.83
"Операционный денежный поток, млрд руб";;;;;-0.182;0.128;-0.262;0.488;1.14;1.78;1.84;1.66;0.818
"CAPEX, млрд руб";;;;;0.025;0.020;0.019;0.052;0.105;0.167;0.175;0.200;0.287
"FCF, млрд руб";;;;;-0.164;0.157;-0.228;0.456;1.15;1.82;1.94;1.82;1.12
"Див.выплата, млрд руб";;;;;0.102;0.100;;;1.10;0.350;;1.11;0.520
"Дивиденд, руб/акцию";;;;;1,366;1,336;;;14,69;4,6749;;14,8262;6,9456
"Див доход, ао, %";;;;0.0%;5.8%;6.4%;0.0%;0.0%;6.8%;3.4%;0.0%;3.8%;1.8%
"Дивиденд ап, руб/акцию";;;;;1,366;1,336;;;14,69;4,6749;;14,8262;6,9456
"Див доход, ап, %";;;;0.0%;6.8%;6.2%;0.0%;0.0%;29.9%;7.8%;0.0%;11.3%;4.4%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;127%;0%;0%;106%;34%;0%;49%;28%
"Опер. расходы, млрд руб";18.2;19.6;20.6;23.1;25.0;26.9;27.7;28.5;30.9;30.9;32.7;34.9;36.7
"Амортизация, млрд руб";;;;;;;;;;0.0;0.0;0.1;0.1
"Расх на персонал, млрд руб";;;;;;0.433;0.483;0.500;0.515;0.426;0.500;0.787;0.870
"Процентные расходы, млрд руб";;;;;0.130;0.129;0.156;0.180;0.120;0.040;0.000;0.000;0.000
"Активы, млрд руб";;;;;3.90;4.20;5.24;6.15;6.10;5.70;12.4;11.9;12.5
"Чистые активы, млрд руб";0.086;0.132;0.466;0.304;0.170;0.065;0.416;1.22;2.52;2.32;7.33;7.15;8.18
"Долг, млрд руб";1.03;0.638;0.103;1.04;1.17;1.000;1.67;1.64;0.255;0.014;0.000;0.000;0.000
